"","Film","loc","Location","region","lon","lat","geoAddress"
"1","Dr. No","MI6 headquarters in central London, UK","MI6 headquarters in central London","UK",-0.124403,51.4872665,"85 albert embankment, lambeth, london se1 7uq, uk"
"2","Dr. No","Kingston, Jamaica","Kingston","Jamaica",-76.8099041,18.0178743,"kingston, jamaica"
"3","Dr. No","Crab Key, Jamaica","Crab Key","Jamaica",-77.1477524,18.4229602,"crab key beach, jamaica"
"4","From Russia with Love","Unnamed river, UK","Unnamed river","UK",-0.3886142,51.6540525,"unnamed, watford wd17 2nj, uk"
"5","From Russia with Love","Zagreb, Croatia","Zagreb","Croatia",15.9819189,45.8150108,"zagreb, croatia"
"6","From Russia with Love","Belgrade, Serbia","Belgrade","Serbia",20.4489216,44.786568,"belgrade, serbia"
"7","From Russia with Love","Istanbul, Turkey","Istanbul","Turkey",28.9783589,41.0082376,"istanbul, turkey"
"8","From Russia with Love","Venice, Italy","Venice","Italy",12.3155151,45.4408474,"venice, metropolitan city of venice, italy"
"9","Goldfinger","Stoke Park, UK","Stoke Park","UK",-0.6027663,51.5346796,"park rd, stoke poges sl2 4pg, uk"
"10","Goldfinger","Geneva, Switzerland","Geneva","Switzerland",6.1431577,46.2043907,"geneva, switzerland"
"11","Goldfinger","Stans, Switzerland","Stans","Switzerland",8.3659672,46.9571926,"6370 stans, switzerland"
"12","Goldfinger","Furka Pass, Switzerland","Furka Pass","Switzerland",8.4148637,46.5724095,"furka pass, 3999 obergoms, switzerland"
"13","Goldfinger","Miami, USA","Miami","USA",-80.1917902,25.7616798,"miami, fl, usa"
"14","Goldfinger","Fort Knox, USA","Fort Knox","USA",-85.9652817,37.8832286,"fort knox, ky 40121, usa"
"15","Goldfinger","Baltimore, USA","Baltimore","USA",-76.6121893,39.2903848,"baltimore, md, usa"
"16","Goldfinger","Poppy farm, Mexico","Poppy farm","Mexico",-106.688675,34.868381,"golden poppy st, bosque farms, nm 87068, usa"
"17","Thunderball","Anet, France","Anet","France",1.439517,48.855978,"28260 anet, france"
"18","Thunderball","England","Shrublands Health Retreat","UK",-1.1743197,52.3555177,"england, uk"
"19","Thunderball","Paradise Island, Bahamas","Paradise Island","Bahamas",-77.3134431,25.0821287,"paradise island, the bahamas"
"20","Thunderball","Florida coast off Miami, USA","Florida coast off Miami","USA",-80.1300455,25.790654,"miami beach, fl, usa"
"21","You Only Live Twice","Hong Kong, Hong Kong","Hong Kong","Hong Kong",114.109497,22.396428,"hong kong"
"22","You Only Live Twice","Washington D.C., USA","Washington D.C.","USA",-77.0368707,38.9071923,"washington, dc, usa"
"23","You Only Live Twice","Tokyo, Japan","Tokyo","Japan",139.6917064,35.6894875,"tokyo, japan"
"24","You Only Live Twice","Japan","SPECTRE's hideout","Japan",138.252924,36.204824,"japan"
"25","You Only Live Twice","Norway","Secret CIA base","Norway",8.468946,60.472024,"norway"
"26","Diamonds Are Forever","Tokyo, Japan","Tokyo","Japan",139.6917064,35.6894875,"tokyo, japan"
"27","Diamonds Are Forever","Cairo, Egypt","Cairo","Egypt",31.2357116,30.0444196,"cairo, cairo governorate, egypt"
"28","Diamonds Are Forever","Beach Southern, France","Beach Southern","France",3.4085002,43.4219787,"26 rue du foyer, 34120 nézignan-l'évêque, france"
"30","Diamonds Are Forever","South Africa","Unnamed location","South Africa",22.937506,-30.559482,"south africa"
"31","Diamonds Are Forever","Amsterdam, Netherlands","Amsterdam","Netherlands",4.8951679,52.3702157,"amsterdam, netherlands"
"32","Diamonds Are Forever","Las Vegas, USA","Las Vegas","USA",-115.1398296,36.1699412,"las vegas, nv, usa"
"33","Diamonds Are Forever","Los Angeles, USA","Los Angeles","USA",-118.2436849,34.0522342,"los angeles, ca, usa"
"34","Diamonds Are Forever","Mexico","Oil rig in Baja California","Mexico",-102.552784,23.634501,"mexico"
