Film,Iron Man,Captain America,Nick Fury,Thor,Hulk,Veuve noire,Œil de Faucon,Bucky Barnes,Sorcière rouge,Star-Lord,Vision,Ant-Man,Spider-Man,Doctor Strange,Black Panther,Captain Marvel
Iron Man,Oui,,Oui,,,,,,,,,,,,,
L'incroyable Hulk,Oui,,,,Oui,,,,,,,,,,,
Iron Man 2,Oui,,Oui,,,Oui,,,,,,,,,,
Thor,,,Oui,Oui,,,Oui,,,,,,,,,
Captain America : First Avenger,,Oui,Oui,,,,,Oui,,,,,,,,
Avengers,Oui,Oui,Oui,Oui,Oui,Oui,Oui,,,,,,,,,
Iron Man 3,Oui,,,,Oui,,,,,,,,,,,
Thor : le Monde des ténèbres,,Oui,,Oui,,,,,,,,,,,,
Captain America : Le Soldat de l'hiver,,Oui,Oui,,,Oui,,Oui,Oui,,,,,,,
Les Gardiens de la Galaxie,,,,,,,,,,Oui,,,,,,
Avengers : L'Ère d'Ultron,Oui,Oui,Oui,Oui,Oui,Oui,Oui,,Oui,,Oui,,,,,
Ant-Man,,Oui,,,,,,Oui,,,,Oui,,,,
Captain America: Civil War,Oui,Oui,,,,Oui,Oui,Oui,Oui,,Oui,Oui,Oui,,Oui,
Doctor Strange,,,,Oui,,,,,,,,,,Oui,,
Les Gardiens de la Galaxie Vol. 2,,,,,,,,,,Oui,,,,,,
Spider-Man: Homecoming,Oui,Oui,,,,,,,,,,,Oui,,,
Thor: Ragnarok,,,,Oui,Oui,,,,,,,,,Oui,,
Black Panther,,,,,,,,,,,,,,,Oui,
Avengers: Infinity War,Oui,Oui,,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,
Ant-Man et la Guêpe,,,,,,,,,,,,Oui,,,,
Captain Marvel,,,Oui,,,,,,,,,,,,,Oui
